Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

20,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

30,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

40,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

50,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

60,0,0,0,0,9,2,26,3,9,2,2,0,0,0,11,11,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

70,0,0,0,0,10,3,24,3,10,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

80,0,0,0,0,10,3,23,4,10,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

90,0,0,0,0,11,3,22,4,11,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

100,0,0,0,0,11,3,21,5,11,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

110,0,0,0,0,11,3,21,5,11,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

120,0,0,0,0,13,3,17,7,13,3,3,0,0,0,11,12,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

130,0,0,0,0,14,4,15,7,14,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

140,0,0,0,0,14,4,15,7,14,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

150,0,0,0,0,14,4,15,7,14,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

160,0,0,0,0,14,4,15,7,14,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

170,0,0,0,0,14,4,15,7,14,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

180,0,0,0,0,15,4,14,7,15,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

190,0,0,0,0,15,4,14,7,15,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

200,0,0,0,0,15,4,14,7,15,4,4,0,0,0,11,13,10,10,0,36,4,0,0,0,0,2,1,1,0,0,0,0,0,0,

210,0,0,0,0,16,5,12,7,16,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

220,0,0,0,0,17,5,11,7,17,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

230,0,0,0,0,17,5,11,7,17,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

240,0,0,0,0,17,5,11,7,17,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

250,0,0,0,0,17,5,10,8,17,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

260,0,0,0,0,17,5,10,8,17,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

270,0,0,0,0,20,5,6,9,20,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

280,0,0,0,0,21,5,5,9,21,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

290,0,0,0,0,22,5,4,9,22,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

300,0,0,0,0,22,5,4,9,22,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

310,0,0,0,0,22,5,4,9,22,5,5,0,0,0,11,13,11,10,0,35,5,0,0,1,0,2,1,1,0,0,0,0,0,0,

320,0,0,0,0,22,6,3,9,22,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

330,0,0,0,0,22,6,3,9,22,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

340,0,0,0,0,22,6,3,9,22,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

350,0,0,0,0,23,6,2,9,23,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

360,0,0,0,0,23,6,2,9,23,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

370,0,0,0,0,23,6,2,9,23,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

380,0,0,0,1,23,6,2,9,23,6,6,0,0,0,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

390,0,0,0,1,23,6,2,8,23,6,6,0,0,1,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

400,0,0,0,1,23,6,2,8,23,6,6,0,0,1,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

410,0,0,1,1,23,6,2,7,23,6,6,0,0,2,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

420,0,0,1,1,23,6,2,7,23,6,6,0,0,2,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

430,0,0,1,1,23,6,2,7,23,6,6,0,0,2,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

440,0,0,1,1,23,6,2,7,23,6,6,0,0,2,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

450,0,0,1,1,23,6,2,7,23,6,6,0,0,2,11,13,12,10,0,34,6,0,0,1,0,2,1,1,1,0,0,0,0,0,

