Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,10,5,24,1,10,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

20,0,0,0,0,10,5,24,1,10,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

30,0,0,0,0,10,5,24,1,10,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

40,0,0,0,0,10,5,23,2,10,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

50,0,0,0,0,11,5,22,2,11,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

60,0,0,0,0,13,5,20,2,13,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

70,0,0,0,0,14,5,18,3,14,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

80,0,0,0,0,14,5,17,4,14,5,5,0,0,0,12,11,11,11,0,35,5,0,0,2,1,1,1,0,0,0,0,0,0,0,

90,0,0,0,0,15,6,15,4,15,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

100,0,0,0,0,16,6,14,4,16,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

110,0,0,0,0,16,6,14,4,16,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

120,0,0,0,0,17,6,13,4,17,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

130,0,0,0,0,17,6,12,5,17,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

140,0,0,0,0,17,6,12,5,17,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

150,0,0,0,0,17,6,12,5,17,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

160,0,0,0,0,18,6,11,5,18,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

170,0,0,0,0,18,6,11,5,18,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

180,0,0,0,0,18,6,10,6,18,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

190,0,0,0,0,18,6,10,6,18,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

200,0,0,0,0,18,6,10,6,18,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

210,0,0,0,0,19,6,9,6,19,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

220,0,0,0,0,20,6,8,6,20,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

230,0,0,0,0,21,6,6,7,21,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

240,0,0,0,0,23,6,4,7,23,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

250,0,0,0,0,24,6,3,7,24,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

260,0,0,0,0,24,6,3,7,24,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

270,0,0,0,0,24,6,3,7,24,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

280,0,0,0,0,25,6,2,7,25,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

290,0,0,0,0,26,6,1,7,26,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

300,0,0,0,0,26,6,1,7,26,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

310,0,0,0,1,26,6,1,7,26,6,6,0,0,0,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

320,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

330,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

340,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

350,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

360,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

370,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

380,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

390,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

400,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

410,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

420,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

430,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

440,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

450,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

460,0,0,0,1,27,6,0,6,27,6,6,0,0,1,12,11,11,12,0,34,6,0,0,2,1,1,1,1,0,0,0,0,0,0,

