Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,8,3,27,2,8,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

20,0,0,0,0,8,3,26,3,8,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

30,0,0,0,0,8,3,26,3,8,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

40,0,0,0,0,8,3,25,4,8,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

50,0,0,0,0,9,3,24,4,9,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

60,0,0,0,0,10,3,23,4,10,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

70,0,0,0,0,11,3,22,4,11,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

80,0,0,0,0,11,3,22,4,11,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

90,0,0,0,0,11,3,21,5,11,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

100,0,0,0,0,11,3,21,5,11,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

110,0,0,0,0,12,3,20,5,12,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

120,0,0,0,0,12,3,20,5,12,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

130,0,0,0,0,12,3,20,5,12,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

140,0,0,0,0,13,3,19,5,13,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

150,0,0,0,0,14,3,18,5,14,3,3,0,0,0,10,11,11,11,0,37,3,0,0,0,0,1,0,1,1,0,0,0,0,0,

