Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

30,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

50,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

70,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

80,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

90,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

100,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

110,0,0,0,0,0,0,39,1,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

120,0,0,0,0,0,0,39,1,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

