Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,0,0,38,2,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

20,0,0,0,0,0,0,38,2,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

30,0,0,0,0,0,0,38,2,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

40,0,0,0,0,0,0,38,2,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

50,0,0,0,0,0,0,37,3,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

60,0,0,0,0,0,0,37,3,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

70,0,0,0,0,0,0,36,4,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

80,0,0,0,0,0,0,35,5,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

90,0,0,0,0,0,0,34,6,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

100,0,0,0,0,0,0,34,6,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

110,0,0,0,0,0,0,34,6,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

120,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

130,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

140,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

150,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

160,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

170,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

180,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

190,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

200,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

210,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

220,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

230,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

240,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

250,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

260,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

270,0,0,0,0,0,0,33,7,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

280,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

290,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

300,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

310,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

320,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

330,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

340,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

350,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

360,0,0,0,0,0,0,31,9,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

370,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

380,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

390,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

400,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

410,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

420,0,0,0,0,0,0,30,10,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

430,0,0,0,0,0,0,29,11,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

440,0,0,0,0,0,0,29,11,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

450,0,0,0,0,0,0,29,11,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

460,0,0,0,0,0,0,29,11,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

470,0,0,0,0,0,0,29,11,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

480,0,0,0,0,0,0,28,12,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

490,0,0,0,0,0,0,28,12,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

500,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

510,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

520,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

530,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

540,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

550,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

560,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

570,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

580,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

590,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

600,0,0,0,0,0,0,27,13,0,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

